"UNIT_NAME","UNIT_ORDER","FIELD","UNIT_ACRES","OPERATOR_NAME","FORMATION","LUW_CODE","DISSOLVED_","TERMINATED"
"HA RA SUP","8-N-2","Sligo","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUH","1490-C","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SUQ","955-J-2","Grogan","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUF","123-K-1","Longwood","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,"Y",
"HA RA SUZ","88-J-7","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUEE","361-L-66","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUII","287-F-14","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUNN","990-D-5","Woodardville","640.0","Will-Drill Production Company, Inc.","Haynesville",,"Y",
"HA RA SUA","287-F","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUGG","498-B-5","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUTT","88-J-10","Holly","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUN","8-N-2","Sligo","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUH","691-C-1","Swan Lake","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUV","994-D-2","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUU","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUS","191-H-8","Caspiana","640.0","Camterra Resources, Inc.","Haynesville",,,
"HA RA SUO","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SUM","109-X-38","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUX","8-N-4","Sligo","640.0","Encana Oil and Gas USA Inc.","Haynesville",,"Y",
"HA RA SUE","1165-K-1","San Miguel Creek","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RB SU77","109-X-79","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU74","109-X-84","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU75","109-X-84","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,"Y",
"HA RC SUDD","109-X-83","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RC SUEE","109-X-83","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUYY","109-X-82","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU78","109-X-81","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SU79","109-X-81","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUC","948-C-1","Redoak Lake","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RC SUU","109-X-43","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUTT","289-R-30","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUHH","289-R-16","Bethany_Longstreet","910.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU93","191-H-41","Caspiana","640.0","Palmer Petroleum, Inc.","Haynesville",,,
"HA RA SU71","191-H-65","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUPP","8-N-8","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUN","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUE","917-L","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RB SU61","109-X-49","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RB SUWW","289-R-30","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUQ","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SURR","88-J-10","Holly","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SU72","191-H-24","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUS","1199-E-7","Trenton","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUW","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,"Y",
"HA RA SUII","191-H-19","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUC","88-J-1","Holly","640.0","Mainland Resources, Inc.","Haynesville",,,
"HA RA SUE","496-L-3","Benson","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SU57","109-X-66","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUFF","88-J-9","Holly","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUAA","1199-E-5","Trenton","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUUU","289-R-26","Bethany_Longstreet","560.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUBB","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,"Y",
"HA RA SUM","28-AA-4","Logansport","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUK","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUQ","28-AA-6","Logansport","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUVV","109-X-54","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUP","123-K-4","Longwood","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,"Y",
"HA RA SUI","123-K-1","Longwood","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RA SUT","909-H-4","Gahagan","565.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUMM","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUII","8-N-9","Sligo","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUF","361-L-5","Elm Grove","640.0","KCS Resources, Inc.","Haynesville",,,
"HA RA SUDD","994-D-8","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUF","967-C-5","Cedar Grove","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","312-G-1","Belle Bower","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUGG","496-L-8","Benson","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUA","1490-C","Alabama Bend","640.0","Will-Drill Production Company, Inc.","Haynesville",,,
"HA RA SU73","990-D-21","Woodardville","640.0","JW Operating Company","Haynesville",,,
"HA RA SUQ","994-D-1","Johnson Branch","640.0","Fossil Operating, Inc.","Haynesville",,,
"HA RA SUF","376-D","Kingston","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUL","361-L-2","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUA","1522","Red Chute Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUDD","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUNN","191-H-27","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RC SUP","109-X-44","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","572-B-2","Ten Mile Bayou","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RD SUH","109-X","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUR","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU72","990-D-21","Woodardville","640.0","JW Operating Company","Haynesville",,,
"HA RA SUV","361-L-11","Elm Grove","640.0","KCS Resources, Inc.","Haynesville",,,
"HA RA SU88","191-H-40","Caspiana","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUE","956-C","Haughton","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUW","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RB SUPP","289-R-30","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUD","1525-A","Mansfield","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RD SUQ","109-X-26","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUFF","287-F-12","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU103","361-L-60","Elm Grove","640.0","WSF, Inc.","Haynesville",,,
"HA RA SUI","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUP","691-C-5","Swan Lake","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SU63","990-D-14","Woodardville","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUI","1145-B-7","Thorn Lake","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUHH","28-AA-14","Logansport","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUII","289-R-17","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUJ","287-F-3","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUC","855-E","North Grand Cane","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SULL","496-L-8","Benson","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RA SUEE","289-R-34","Bethany_Longstreet","640.0","Coronado Energy E&P Company, L.L.C.","Haynesville",,,
"HA RA SUN","92-N-5","Spider","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUN","498-B-1","Pleasant Hill","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUC","289-R-2","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUO","994-D-1","Johnson Branch","640.0","Fossil Operating, Inc.","Haynesville",,,
"HA RA SUEE","287-F-13","Lake Bistineau","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU76","361-L-46","Elm Grove","640.0","WSF, Inc.","Haynesville",,,
"HA RA SU96","191-H-41","Caspiana","640.0","Palmer Petroleum, Inc.","Haynesville",,,
"HA RB SUR","289-R-9","Bethany_Longstreet","640.0","BEUSA Energy, Inc.","Haynesville",,,
"HA RA SU135","191-H-68","Caspiana","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SU74","361-L-48","Elm Grove","640.0","WSF, Inc.","Haynesville",,,
"HA RA SUR","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SUY","994-D-7","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUC","956-C","Haughton","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUCC","990-D-4","Woodardville","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUW","287-F-10","Lake Bistineau","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUGG","109-X-55","Red River_Bull Bayou","640.0","Petrohawk Operating Company","Haynesville",,,
